Players,Teams,Started_at,Finished_at,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides
"Oblak

 (GK)",Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Thomas,Atlético,0',Finished,Not scored,3,0,0,1,0,0,0
Koke,Atlético,0',Finished,Not scored,0,0,0,1,2,2,0
Saúl Ñíguez,Atlético,0',Finished,Scored at  4,1,1,0,2,0,2,0
Morata,Atlético,0',Substituted at 70',Not scored,1,1,0,0,0,2,2
Correa,Atlético,0',Substituted at 77',Not scored,0,0,0,2,2,1,1
Lemar,Atlético,0',Substituted at 46',Not scored,0,0,0,2,0,0,1
Renan Lodi,Atlético,0',Finished,Not scored,1,0,0,2,2,0,1
Savić,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Felipe,Atlético,0',Finished,Not scored,0,0,0,1,0,0,0
Vrsaljko,Atlético,0',Finished,Not scored,0,0,0,1,3,1,0
"Adán

 (GK)",Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Giménez,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Llorente,Atlético,46',Finished,Not scored,0,0,0,0,0,0,0
Diego Costa,Atlético,77',Finished,Not scored,1,0,0,0,0,1,0
Vitolo,Atlético,70',Finished,Not scored,0,0,0,1,0,2,0
Carrasco,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Hermoso,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Diego Simeone,Atlético(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Alisson Becker

 (GK)",Liverpool,0',Finished,Not scored,0,0,0,0,0,0,0
Fabinho,Liverpool,0',Finished,Not scored,2,0,0,1,1,2,0
Van Dijk,Liverpool,0',Finished,Not scored,0,0,0,0,0,0,0
Wijnaldum,Liverpool,0',Finished,Not scored,0,0,0,3,1,1,0
Firmino,Liverpool,0',Finished,Not scored,0,0,0,0,2,1,1
Mané,Liverpool,0',Substituted at 46',Not scored,0,0,0,0,1,2,0
Salah,Liverpool,0',Substituted at 72',Not scored,2,0,0,0,0,1,0
Gomez,Liverpool,0',Finished,Not scored,0,0,0,2,1,4,0
Henderson,Liverpool,0',Substituted at 80',Not scored,1,0,0,0,1,1,0
Robertson,Liverpool,0',Finished,Not scored,1,0,0,2,5,0,0
Alexander-Arnold,Liverpool,0',Finished,Not scored,0,0,0,2,17,0,0
"Adrián

 (GK)",Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Milner,Liverpool,80',Finished,Not scored,0,0,0,0,1,1,0
Keïta,Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Oxlade-Chamberlain,Liverpool,72',Finished,Not scored,1,0,0,0,1,0,0
Minamino,Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Origi,Liverpool,46',Finished,Not scored,0,0,0,0,2,0,0
Matip,Liverpool,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jürgen Klopp,Liverpool(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Bürki

 (GK)",Dortmund,0',Finished,Not scored,0,0,0,0,0,0,0
Zagadou,Dortmund,0',Finished,Not scored,0,0,0,0,0,0,0
Hakimi,Dortmund,0',Finished,Not scored,3,0,0,3,2,0,0
Sancho,Dortmund,0',Substituted at 90',Not scored,2,1,0,1,4,1,1
Guerreiro,Dortmund,0',Finished,Not scored,2,0,0,0,1,1,0
Hummels,Dortmund,0',Finished,Not scored,0,0,0,2,0,1,1
Haaland,Dortmund,0',Finished,"Scored at  69, 77",4,2,0,1,0,3,0
T. Hazard,Dortmund,0',Substituted at 67',Not scored,0,0,0,0,2,0,0
Piszczek,Dortmund,0',Finished,Not scored,0,0,0,2,1,0,0
Emre Can,Dortmund,0',Finished,Not scored,0,0,0,0,0,3,0
Witsel,Dortmund,0',Finished,Not scored,1,0,0,1,0,3,0
"Hitz

 (GK)",Dortmund,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Dahoud,Dortmund,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Götze,Dortmund,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Schulz,Dortmund,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Akanji,Dortmund,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Schmelzer,Dortmund,90',Finished,Not scored,0,0,0,0,0,0,0
Reyna,Dortmund,67',Finished,Not scored,0,0,1,0,0,1,0
Lucien Favre,Dortmund(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Navas

 (GK)",Paris,0',Finished,Not scored,0,0,0,1,0,0,0
Thiago Silva,Paris,0',Finished,Not scored,1,0,0,3,0,0,0
Kimpembe,Paris,0',Finished,Not scored,0,0,0,1,0,0,0
Marquinhos,Paris,0',Finished,Not scored,1,0,0,0,0,1,0
Verratti,Paris,0',Finished,Not scored,0,0,0,0,0,0,0
Mbappé,Paris,0',Finished,Not scored,2,2,1,0,1,1,2
Neymar,Paris,0',Finished,Scored at  75,6,1,0,1,4,1,0
Di María,Paris,0',Substituted at 77',Not scored,0,0,0,0,0,0,0
Meunier,Paris,0',Finished,Not scored,0,0,0,5,1,1,0
Kurzawa,Paris,0',Finished,Not scored,0,0,0,2,0,2,1
Gueye,Paris,0',Finished,Not scored,0,0,0,1,0,5,0
"Rico

 (GK)",Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kehrer,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Cavani,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Icardi,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Sarabia,Paris,77',Finished,Not scored,0,0,0,0,0,0,0
Draxler,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Kouassi,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Thomas Tuchel,Paris(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Gollini

 (GK)",Atalanta,0',Finished,Not scored,0,0,0,0,0,0,0
Tolói,Atalanta,0',Finished,Not scored,0,0,0,2,0,0,0
Caldara,Atalanta,0',Substituted at 75',Not scored,1,0,0,1,0,2,0
Palomino,Atalanta,0',Finished,Not scored,0,0,0,1,1,2,0
Gosens,Atalanta,0',Finished,Not scored,1,0,0,3,1,2,0
Gómez,Atalanta,0',Substituted at 81',Not scored,1,0,1,1,6,0,1
Freuler,Atalanta,0',Finished,Scored at  57,2,1,0,0,0,4,0
De Roon,Atalanta,0',Finished,Not scored,1,0,0,1,0,2,0
Hateboer,Atalanta,0',Finished,"Scored at  16, 62",2,2,0,2,1,1,0
Iličić,Atalanta,0',Finished,Scored at  42,1,1,0,1,3,2,0
Pašalić,Atalanta,0',Substituted at 90'+2,Not scored,1,1,2,0,1,0,0
"Sportiello

 (GK)",Atalanta,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Tameze,Atalanta,90'+2,Finished,Not scored,0,0,0,0,0,0,0
Czyborra,Atalanta,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Muriel,Atalanta,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Malinovskyi,Atalanta,81',Finished,Not scored,1,0,0,0,0,1,0
Castagne,Atalanta,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Zapata,Atalanta,75',Finished,Not scored,0,0,0,0,1,3,0
Gian Piero Gasperini,Atalanta(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Doménech

 (GK)",Valencia,0',Finished,Not scored,0,0,0,0,0,0,0
Mangala,Valencia,0',Finished,Not scored,0,0,0,2,0,1,0
Kondogbia,Valencia,0',Finished,Not scored,2,0,0,3,0,0,0
Gonçalo Guedes,Valencia,0',Substituted at 64',Not scored,2,0,0,0,2,0,0
Soler,Valencia,0',Finished,Not scored,2,0,0,1,0,1,0
Parejo,Valencia,0',Finished,Not scored,0,0,0,0,10,1,0
Diakhaby,Valencia,0',Finished,Not scored,0,0,0,2,1,2,0
Gayà,Valencia,0',Finished,Not scored,3,0,0,1,1,0,1
Wass,Valencia,0',Finished,Not scored,0,0,0,1,6,1,0
Ferrán Torres,Valencia,0',Finished,Not scored,3,1,0,1,4,0,0
Maxi Gómez,Valencia,0',Substituted at 73',Not scored,4,2,0,2,0,3,1
"Cillessen

 (GK)",Valencia,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Thierry Correia,Valencia,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jaume Costa,Valencia,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Gameiro,Valencia,73',Finished,Not scored,0,0,0,0,1,0,0
Cheryshev,Valencia,64',Finished,Scored at  66,2,2,0,0,0,0,0
Rubén Sobrino,Valencia,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Gutierrez,Valencia,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Albert Celades,Valencia(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Lloris

 (GK)",Tottenham,0',Finished,Not scored,0,0,0,0,0,0,0
Alderweireld,Tottenham,0',Finished,Not scored,0,0,0,1,0,0,0
Sánchez,Tottenham,0',Finished,Not scored,0,0,0,3,0,1,0
Winks,Tottenham,0',Finished,Not scored,1,1,0,4,0,0,0
Lo Celso,Tottenham,0',Finished,Not scored,3,2,0,2,8,1,0
Alli,Tottenham,0',Substituted at 64',Not scored,0,0,0,1,0,0,1
Bergwijn,Tottenham,0',Finished,Not scored,3,1,0,0,0,1,0
Aurier,Tottenham,0',Finished,Not scored,0,0,0,0,4,1,0
Moura,Tottenham,0',Finished,Not scored,3,1,0,0,0,3,0
Gedson Fernandes,Tottenham,0',Substituted at 64',Not scored,1,0,0,0,3,1,0
Davies,Tottenham,0',Finished,Not scored,0,0,0,0,1,2,0
"Gazzaniga

 (GK)",Tottenham,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Vertonghen,Tottenham,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Lamela,Tottenham,64',Finished,Not scored,1,1,0,0,1,1,1
Dier,Tottenham,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Ndombélé,Tottenham,64',Finished,Not scored,0,0,0,0,0,0,0
Skipp,Tottenham,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Tanganga,Tottenham,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
José Mourinho,Tottenham(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Gulácsi

 (GK)",Leipzig,0',Finished,Not scored,0,0,0,0,0,0,0
Angeliño,Leipzig,0',Finished,Not scored,3,2,0,0,3,0,0
Sabitzer,Leipzig,0',Finished,Not scored,2,0,0,2,0,3,0
Werner,Leipzig,0',Finished,Scored at  58 (P),3,1,0,0,3,1,2
Klostermann,Leipzig,0',Finished,Not scored,0,0,0,1,0,1,0
Nkunku,Leipzig,0',Substituted at 74',Not scored,2,0,0,0,6,2,0
Schick,Leipzig,0',Substituted at 77',Not scored,5,2,0,0,0,1,1
Mukiele,Leipzig,0',Finished,Not scored,0,0,0,0,1,1,1
Halstenberg,Leipzig,0',Finished,Not scored,0,0,0,2,1,2,0
Ampadu,Leipzig,0',Finished,Not scored,0,0,0,5,0,0,1
Laimer,Leipzig,0',Substituted at 83',Not scored,0,0,0,0,0,3,0
"Mvogo

 (GK)",Leipzig,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Haidara,Leipzig,74',Finished,Not scored,0,0,0,0,0,1,0
Y. Poulsen,Leipzig,77',Finished,Not scored,0,0,0,0,0,0,0
Forsberg,Leipzig,83',Finished,Not scored,0,0,0,0,1,2,0
Lookman,Leipzig,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
