,Players,Teams,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides,Time Played
2987,Benzema,Real Madrid,0,1,0,0,0,0,0,2,77
2988,Bale,Real Madrid,0,2,1,0,1,0,1,0,68
2989,Marcelo,Real Madrid,0,1,0,0,4,2,0,0,90
2990,Casemiro,Real Madrid,0,1,0,0,2,0,1,0,90
2991,Modrić,Real Madrid,0,0,0,0,2,0,0,0,80
2992,"Casilla
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0
2993,Nacho,Real Madrid,0,0,0,0,0,0,0,0,0
2994,James Rodríguez,Real Madrid,0,0,0,0,0,0,0,0,0
2995,Lucas Vázquez,Real Madrid,0,0,0,0,0,2,1,0,22
2996,Morata,Real Madrid,1,1,1,0,0,0,1,1,13
2997,Isco,Real Madrid,0,0,0,0,0,1,0,0,10
2998,Danilo,Real Madrid,0,0,0,0,0,0,0,0,0
2999,Zinédine Zidane,Real Madrid(COACH),0,0,0,0,0,0,0,0,0
3000,"Casillas
 (GK)",Porto,0,0,0,0,0,0,0,0,90
3001,Maxi Pereira,Porto,0,0,0,0,1,3,1,0,90
3002,Marcano,Porto,0,0,0,0,2,0,0,0,90
3003,Rúben Neves,Porto,0,1,0,0,2,0,2,0,61
3004,Brahimi,Porto,0,1,0,0,1,1,2,0,73
3005,André Silva,Porto,0,0,0,0,0,0,0,0,30
3006,Alex Telles,Porto,0,0,0,0,0,1,2,0,90
3007,Herrera,Porto,0,1,0,0,3,0,1,0,90
3008,Danilo,Porto,0,0,0,0,2,0,1,0,90
3009,Felipe,Porto,0,0,0,0,0,0,1,0,90
3010,Soares,Porto,0,0,0,0,0,0,2,1,90
3011,"José Sá
 (GK)",Porto,0,0,0,0,0,0,0,0,0
3012,Boly,Porto,0,0,0,0,0,0,0,0,0
3013,Corona,Porto,0,0,0,0,0,0,0,0,29
3014,Diogo Jota,Porto,0,0,0,0,1,0,0,0,17
3015,André André,Porto,0,0,0,0,0,0,0,0,0
3016,Layún,Porto,0,0,0,0,1,1,0,0,60
3017,Óliver Torres,Porto,0,0,0,0,0,0,0,0,0
3018,Nuno Espírito Santo,Porto(COACH),0,0,0,0,0,0,0,0,0
3019,"Buffon
 (GK)",Juventus,0,0,0,0,0,0,0,0,90
3020,Chiellini,Juventus,0,0,0,0,3,0,3,0,90
3021,Pjanić,Juventus,0,3,1,0,1,3,1,0,90
3022,Khedira,Juventus,0,4,0,0,1,0,1,0,90
3023,Cuadrado,Juventus,0,1,0,0,1,8,1,0,67
3024,Higuaín,Juventus,0,3,0,0,0,0,2,0,90
3025,Alex Sandro,Juventus,0,1,0,1,2,11,1,0,90
3026,Barzagli,Juventus,0,0,0,0,1,0,1,0,90
3027,Mandžukić,Juventus,0,0,0,0,1,2,0,0,90
3028,Dybala,Juventus,0,0,0,0,0,0,0,0,86
3029,Lichtsteiner,Juventus,0,0,0,0,0,3,3,0,73
3030,"Neto
 (GK)",Juventus,0,0,0,0,0,0,0,0,0
3031,Benatia,Juventus,0,0,0,0,0,0,0,0,0
3032,Marchisio,Juventus,0,0,0,0,0,0,0,0,4
3033,Pjaca,Juventus,1,1,1,0,0,1,0,0,23
3034,Asamoah,Juventus,0,0,0,0,0,0,0,0,0
3035,Dani Alves,Juventus,1,1,1,0,0,4,0,0,17
3036,Rugani,Juventus,0,0,0,0,0,0,0,0,0
3037,Massimiliano Allegri,Juventus(COACH),0,0,0,0,0,0,0,0,0
3038,"Rico
 (GK)",Sevilla,0,0,0,0,0,0,0,0,90
3039,Mariano Ferreira,Sevilla,0,1,0,0,1,5,0,0,90
3040,Nasri,Sevilla,0,1,0,0,0,5,0,0,90
3041,Correa,Sevilla,1,4,3,0,0,0,1,0,63
3042,Nzonzi,Sevilla,0,0,0,0,2,0,1,0,90
3043,Jovetić,Sevilla,0,5,1,1,1,1,0,0,90
3044,Sarabia,Sevilla,1,4,1,0,0,8,0,0,90
3045,Escudero,Sevilla,0,3,1,1,3,3,1,0,90
3046,Vitolo,Sevilla,0,4,1,0,2,2,0,0,90
3047,Rami,Sevilla,0,1,0,0,2,1,0,0,90
3048,Lenglet,Sevilla,0,0,0,0,0,0,0,0,55
3049,"Soria
 (GK)",Sevilla,0,0,0,0,0,0,0,0,0
3050,Kranevitter,Sevilla,0,0,0,0,0,0,0,0,0
3051,Daniel Carriço,Sevilla,0,0,0,0,1,0,1,0,35
3052,Iborra,Sevilla,0,0,0,0,0,0,1,0,27
3053,Vietto,Sevilla,0,0,0,0,0,0,0,0,0
3054,Ben Yedder,Sevilla,0,0,0,0,0,0,0,0,0
3055,Vázquez,Sevilla,0,0,0,0,0,0,0,0,0
3056,Jorge Sampaoli,Sevilla(COACH),0,0,0,0,0,0,0,0,0
3057,"Schmeichel
 (GK)",Leicester,0,0,0,0,0,0,0,0,90
3058,Drinkwater,Leicester,0,1,0,1,2,0,0,0,90
3059,Morgan,Leicester,0,0,0,0,0,0,2,0,90
3060,Huth,Leicester,0,0,0,0,1,0,2,0,90
3061,Musa,Leicester,0,1,0,0,0,1,0,0,58
3062,Vardy,Leicester,1,1,1,0,0,1,1,0,90
3063,Albrighton,Leicester,0,0,0,0,0,4,0,0,88
3064,Simpson,Leicester,0,0,0,0,1,0,1,0,90
3065,Ndidi,Leicester,0,1,1,0,4,0,2,0,90
3066,Mahrez,Leicester,0,0,0,0,0,1,1,0,90
3067,Fuchs,Leicester,0,2,0,0,0,0,0,0,90
3068,"Zieler
 (GK)",Leicester,0,0,0,0,0,0,0,0,0
3069,Chilwell,Leicester,0,0,0,0,0,0,0,0,0
3070,King,Leicester,0,0,0,0,0,0,0,0,0
3071,Amartey,Leicester,0,0,0,0,0,0,0,0,2
3072,Okazaki,Leicester,0,0,0,0,0,0,0,0,0
3073,Gray,Leicester,0,1,0,0,0,0,0,0,32
3074,Benalouane,Leicester,0,0,0,0,0,0,0,0,0
3075,Claudio Ranieri,Leicester(COACH),0,0,0,0,0,0,0,0,0
3076,"Leno
 (GK)",Leverkusen,0,0,0,0,0,0,0,0,90
3077,Dragović,Leverkusen,0,0,0,0,1,0,1,0,90
3078,Hernández,Leverkusen,0,5,2,0,0,1,1,0,90
3079,Wendell,Leverkusen,0,0,0,0,1,7,1,0,90
3080,Brandt,Leverkusen,0,1,0,0,0,5,0,0,87
3081,Aránguiz,Leverkusen,0,0,0,0,2,1,2,0,90
3082,Ömer Toprak,Leverkusen,0,0,0,0,1,1,0,0,90
3083,Havertz,Leverkusen,0,0,0,0,0,0,0,0,56
3084,Bellarabi,Leverkusen,1,1,1,0,1,2,6,1,66
3085,Henrichs,Leverkusen,0,1,0,1,3,2,1,0,90
3086,Kampl,Leverkusen,0,5,1,0,3,1,2,0,90
3087,"Özcan
 (GK)",Leverkusen,0,0,0,0,0,0,0,0,0
3088,Bailey,Leverkusen,0,1,0,0,0,0,0,0,3
3089,Mehmedi,Leverkusen,0,0,0,0,0,0,0,0,0
3090,Baumgartlinger,Leverkusen,0,0,0,0,0,0,0,0,0
3091,Jedvaj,Leverkusen,0,0,0,0,0,0,0,0,0
3092,Pohjanpalo,Leverkusen,0,0,0,0,0,0,0,0,24
3093,Volland,Leverkusen,0,0,0,0,0,3,0,0,34
3094,Roger Schmidt,Leverkusen(COACH),0,0,0,0,0,0,0,0,0
3095,"Moyà
 (GK)",Atlético,0,0,0,0,0,0,0,0,90
3096,Filipe Luís,Atlético,0,0,0,0,1,1,1,0,90
3097,Koke,Atlético,0,0,0,0,2,4,2,0,90
3098,Griezmann,Atlético,1,3,3,0,1,1,0,0,78
3099,Saúl Ñíguez,Atlético,1,1,1,0,3,0,0,1,90
3100,Carrasco,Atlético,0,1,0,0,0,0,0,2,78
3101,Gabi,Atlético,0,0,0,1,2,2,1,0,90
3102,Savić,Atlético,0,1,0,0,1,0,0,0,90
3103,Vrsaljko,Atlético,0,0,0,1,2,3,1,0,90
3104,Gameiro,Atlético,1,3,1,1,1,0,2,1,71
3105,Giménez,Atlético,0,0,0,0,4,0,0,0,90
3106,"Oblak
 (GK)",Atlético,0,0,0,0,0,0,0,0,0
3107,Torres,Atlético,1,1,1,0,0,0,1,0,12
3108,Correa,Atlético,0,1,1,0,0,0,1,0,12
3109,Hernández,Leverkusen,0,0,0,0,0,0,0,0,0
3110,Thomas,Atlético,0,0,0,0,0,1,0,0,19
3111,Gaitán,Atlético,0,0,0,0,0,0,0,0,0
3112,Caio Henrique,Atlético,0,0,0,0,0,0,0,0,0
3113,Diego Simeone,Atlético(COACH),0,0,0,0,0,0,0,0,0
3114,"Caballero
 (GK)",Man. City,0,0,0,0,0,0,0,0,90
3115,Sagna,Man. City,0,0,0,0,2,0,0,0,90
3116,Sterling,Man. City,1,2,1,1,1,2,0,2,89
3117,Agüero,Man. City,2,4,3,1,0,2,2,1,87
3118,De Bruyne,Man. City,0,0,0,0,2,7,1,0,90
3119,Sané,Man. City,1,2,1,1,1,4,1,0,90
3120,David Silva,Man. City,0,0,0,1,0,2,2,0,90
3121,Stones,Man. City,1,1,1,0,0,0,0,0,90
3122,Fernandinho,Man. City,0,0,0,0,0,1,2,0,62
3123,Otamendi,Man. City,0,0,0,0,3,0,1,0,90
3124,Touré,Man. City,0,1,0,1,0,0,1,0,90
3125,"Bravo
 (GK)",Man. City,0,0,0,0,0,0,0,0,0
3126,Zabaleta,Man. City,0,0,0,0,0,0,0,0,28
3127,Fernando,Man. City,0,0,0,0,0,0,2,0,3
3128,Nolito,Man. City,0,0,0,0,0,0,0,0,0
3129,Jesús Navas,Man. City,0,0,0,0,0,0,0,0,1
3130,Delph,Man. City,0,0,0,0,0,0,0,0,0
3131,Iheanacho,Man. City,0,0,0,0,0,0,0,0,0
3132,Josep Guardiola,Man. City(COACH),0,0,0,0,0,0,0,0,0
3133,"Subašić
 (GK)",Monaco,0,0,0,0,0,0,0,0,90
3134,Fabinho,Monaco,0,2,0,2,2,1,3,0,90
3135,Falcao,Monaco,2,5,4,0,1,0,1,1,90
3136,Bernardo Silva,Monaco,0,0,0,0,2,1,2,1,84
3137,Bakayoko,Monaco,0,0,0,0,1,1,2,0,88
3138,Sidibé,Monaco,0,1,0,0,2,5,5,1,90
3139,B. Mendy,Monaco,0,1,1,0,0,4,0,0,90
3140,Raggi,Monaco,0,0,0,0,2,0,0,0,90
3141,Glik,Monaco,0,1,0,0,2,0,1,0,90
3142,Lemar,Monaco,0,2,0,1,1,6,1,0,90
3143,Mbappé,Monaco,1,3,1,0,0,1,0,2,79
3144,Dirar,Monaco,0,0,0,0,0,0,0,0,90
3145,João Moutinho,Monaco,0,0,0,0,1,1,0,0,90
3146,Carrillo,Monaco,0,0,0,0,0,0,0,0,90
3147,"De Sanctis
 (GK)",Monaco,0,0,0,0,0,0,0,0,0
3148,Germain,Monaco,0,0,0,0,0,0,0,0,11
3149,Diallo,Monaco,0,0,0,0,0,0,0,0,0
3150,Touré,Man. City,0,0,0,0,0,0,0,0,0
3151,Leonardo Jardim,Monaco(COACH),0,0,0,0,0,0,0,0,0
3152,"Neuer
 (GK)",Bayern,0,0,0,0,0,0,0,0,90
3153,Hummels,Bayern,0,1,0,0,2,0,1,0,90
3154,Thiago Alcántara,Bayern,2,2,2,1,0,1,2,0,90
3155,Javi Martínez,Bayern,0,2,1,0,0,0,0,0,90
3156,Lewandowski,Bayern,1,5,1,1,0,1,2,3,86
3157,Robben,Bayern,1,6,4,0,0,4,0,0,88
3158,Douglas Costa,Bayern,0,2,1,1,1,5,1,0,84
3159,Xabi Alonso,Bayern,0,0,0,0,1,0,2,0,90
3160,Lahm,Bayern,0,0,0,1,0,4,1,0,90
3161,Vidal,Bayern,0,4,2,0,1,0,2,0,90
3162,Alaba,Bayern,0,0,0,0,0,4,0,0,90
3163,"Ulreich
 (GK)",Bayern,0,0,0,0,0,0,0,0,0
3164,Rafinha,Bayern,0,0,0,0,0,0,0,0,2
3165,Bernat,Bayern,0,0,0,0,0,0,0,0,0
3166,Müller,Bayern,1,1,1,0,0,0,0,0,4
3167,Coman,Bayern,0,0,0,0,0,0,0,0,0
3168,Kimmich,Bayern,0,1,0,0,0,0,1,0,6
3169,Renato Sanches,Bayern,0,0,0,0,0,0,0,0,0
3170,Carlo Ancelotti,Bayern(COACH),0,0,0,0,0,0,0,0,0
3171,"Ospina
 (GK)",Arsenal,0,0,0,0,0,0,0,0,90
3172,Gibbs,Arsenal,0,0,0,0,1,0,1,0,90
3173,Koscielny,Arsenal,0,0,0,0,3,0,0,0,49
3174,Alexis Sánchez,Arsenal,1,2,2,0,1,2,3,1,90
3175,Özil,Arsenal,0,2,2,0,0,2,0,0,90
3176,Oxlade-Chamberlain,Arsenal,0,0,0,0,0,0,1,0,90
3177,Iwobi,Arsenal,0,1,0,0,1,0,1,0,66
3178,Mustafi,Arsenal,0,0,0,0,2,0,1,0,90
3179,Bellerín,Arsenal,0,0,0,0,2,1,0,0,90
3180,Xhaka,Arsenal,0,1,1,0,1,0,2,1,90
3181,Coquelin,Arsenal,0,0,0,0,1,0,2,0,77
3182,Gabriel,Arsenal,0,0,0,0,0,0,0,0,90
3183,Giroud,Arsenal,0,1,0,0,0,0,0,0,90
3184,Walcott,Arsenal,0,0,0,0,0,0,0,0,90
3185,Monreal,Arsenal,0,0,0,0,0,0,0,0,90
3186,Welbeck,Arsenal,0,0,0,0,0,0,0,0,90
3187,"Čech
 (GK)",Arsenal,0,0,0,0,0,0,0,0,0
3188,Elneny,Arsenal,0,0,0,0,0,0,0,0,0
3189,Arsène Wenger,Arsenal(COACH),0,0,0,0,0,0,0,0,0
3190,"Navas
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,90
3191,Carvajal,Real Madrid,0,0,0,1,2,3,0,0,90
3192,Ramos,Real Madrid,0,1,0,0,0,0,1,0,71
3193,Varane,Real Madrid,0,1,0,0,2,0,0,0,90
3194,Ronaldo,Real Madrid,0,3,0,1,1,3,0,3,90
3195,Kroos,Real Madrid,1,1,1,0,3,3,0,0,90
3196,Benzema,Real Madrid,1,5,3,0,0,1,1,1,81
3197,James Rodríguez,Real Madrid,0,1,1,0,2,6,2,2,76
3198,Marcelo,Real Madrid,0,3,0,0,1,2,2,1,90
3199,Casemiro,Real Madrid,1,2,1,0,7,0,2,0,90
3200,Modrić,Real Madrid,0,3,0,0,3,1,1,0,90
3201,"Casilla
 (GK)",Real Madrid,0,0,0,0,0,0,0,0,0
3202,Pepe,Real Madrid,0,0,0,0,0,0,0,0,19
3203,Nacho,Real Madrid,0,0,0,0,0,0,0,0,0
3204,Kovačić,Real Madrid,0,0,0,0,0,0,0,0,0
3205,Lucas Vázquez,Real Madrid,0,0,0,0,0,0,0,0,14
3206,Morata,Real Madrid,0,0,0,0,0,0,0,0,9
3207,Isco,Real Madrid,0,0,0,0,0,0,0,0,0
3208,Zinédine Zidane,Real Madrid(COACH),0,0,0,0,0,0,0,0,0
3209,"Reina
 (GK)",Napoli,0,0,0,0,0,0,0,0,90
3210,Hysaj,Napoli,0,0,0,0,0,0,1,0,90
3211,Callejón,Napoli,0,1,0,0,0,2,1,1,90
3212,Mertens,Napoli,0,3,1,0,0,1,3,0,90
3213,Hamšík,Napoli,0,1,0,1,0,0,0,0,83
3214,Zieliński,Napoli,0,0,0,0,1,0,1,0,75
3215,Insigne,Napoli,1,2,1,0,2,2,1,0,90
3216,Koulibaly,Napoli,0,0,0,0,3,0,2,0,90
3217,Ghoulam,Napoli,0,1,0,0,0,5,1,0,90
3218,Albiol,Napoli,0,0,0,0,3,0,0,0,90
3219,Diawara,Napoli,0,0,0,0,1,0,1,0,90
3220,"Rafael Cabral
 (GK)",Napoli,0,0,0,0,0,0,0,0,0
