Players,Teams,Started_at,Finished_at,Goals scored,Total shots,Shots on Target,Assists,Interceptions,Crosses,Fouls committed,Offsides
"Buffon
 (GK)",Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Pogba,Juventus,0',Finished,Not scored,2,1,0,0,0,2,0
Marchisio,Juventus,0',Finished,Not scored,3,2,0,0,0,0,0
Morata,Juventus,0',Substituted at 85',Scored at  55,3,1,0,0,0,0,0
Tévez,Juventus,0',Finished,Not scored,4,2,1,0,0,2,0
Barzagli,Juventus,0',Finished,Not scored,0,0,0,0,0,1,0
Bonucci,Juventus,0',Finished,Not scored,0,0,0,0,0,1,0
Pirlo,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Vidal,Juventus,0',Substituted at 79',Not scored,2,0,0,0,0,1,0
Lichtsteiner,Juventus,0',Finished,Not scored,0,0,0,0,0,2,0
Evra,Juventus,0',Substituted at 89',Not scored,0,0,0,0,0,0,0
"Storari
 (GK)",Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Ogbonna,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Coman,Juventus,89',Finished,Not scored,,,0,,,,
Llorente,Juventus,85',Finished,Not scored,,,0,,,,
Padoin,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Sturaro,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pereyra,Juventus,79',Finished,Not scored,,,0,,,,
Massimiliano Allegri,Juventus(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Ter Stegen
 (GK)",Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Piqué,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Rakitić,Barcelona,0',Substituted at 90'+1,Scored at  4,0,0,0,0,0,0,0
Sergio Busquets,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Iniesta,Barcelona,0',Substituted at 78',Not scored,0,0,1,0,0,0,0
Luis Suárez,Barcelona,0',Substituted at 90'+6,Scored at  68,0,0,0,0,0,0,0
Messi,Barcelona,0',Finished,Not scored,0,0,1,0,0,0,0
Neymar,Barcelona,0',Finished,Scored at  90+7,0,0,0,0,0,0,0
Mascherano,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Jordi Alba,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Dani Alves,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
"Bravo
 (GK)",Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Xavi Hernández,Barcelona,78',Finished,Not scored,0,0,0,0,0,0,0
Pedro Rodríguez,Barcelona,90'+6,Finished,Not scored,0,0,1,0,0,0,0
Rafinha,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Bartra,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Adriano,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Mathieu,Barcelona,90'+1,Finished,Not scored,0,0,0,0,0,0,0
Luis Enrique,Barcelona(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Casillas
 (GK)",Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Varane,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Ramos,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Ronaldo,Real Madrid,0',Finished,Scored at  23 (P),0,0,0,0,0,0,0
Kroos,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Benzema,Real Madrid,0',Substituted at 67',Not scored,0,0,0,0,0,0,0
James Rodríguez,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Bale,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Marcelo,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Carvajal,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Isco,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
"Navas
 (GK)",Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pepe,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Fábio Coentrão,Real Madrid,Did not play,Not applicable,Not scored,,,0,,,,
Hernández,Real Madrid,67',Finished,Not scored,,,0,,,,
Arbeloa,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jesé,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Illarramendi,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Carlo Ancelotti,Real Madrid(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Buffon
 (GK)",Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Chiellini,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Pogba,Juventus,0',Substituted at 89',Not scored,0,0,1,0,0,0,0
Marchisio,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Morata,Juventus,0',Substituted at 84',Scored at  57,0,0,0,0,0,0,0
Tévez,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Bonucci,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Pirlo,Juventus,0',Substituted at 79',Not scored,0,0,0,0,0,0,0
Vidal,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Lichtsteiner,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Evra,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
"Storari
 (GK)",Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Coman,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Llorente,Juventus,84',Finished,Not scored,0,0,0,0,0,0,0
Barzagli,Juventus,79',Finished,Not scored,0,0,0,0,0,0,0
Padoin,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Sturaro,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pereyra,Juventus,89',Finished,Not scored,0,0,0,0,0,0,0
Massimiliano Allegri,Juventus(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Neuer
 (GK)",Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Xabi Alonso,Bayern,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Benatia,Bayern,0',Finished,Scored at  7,0,0,0,,0,0,0
Thiago Alcántara,Bayern,0',Finished,Not scored,0,0,0,,0,0,0
Lewandowski,Bayern,0',Finished,Scored at  59,0,0,0,,0,0,0
Rafinha,Bayern,0',Finished,Not scored,0,0,0,,0,0,0
Boateng,Bayern,0',Finished,Not scored,0,0,0,,0,0,0
Bernat,Bayern,0',Finished,Not scored,0,0,0,,0,0,0
Lahm,Bayern,0',Substituted at 68',Not scored,0,0,0,,0,0,0
Müller,Bayern,0',Substituted at 87',Scored at  74,0,0,0,,0,0,0
Schweinsteiger,Bayern,0',Substituted at 87',Not scored,0,0,2,,0,0,0
"Reina
 (GK)",Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Dante,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Javi Martínez,Bayern,87',Finished,Not scored,0,0,0,0,0,0,0
Pizarro,Bayern,Did not play,Not applicable,Not scored,0,0,1,0,0,0,0
Götze,Bayern,87',Finished,Not scored,0,0,0,0,0,0,0
Rode,Bayern,68',Finished,Not scored,0,0,0,0,0,0,0
Weiser,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Josep Guardiola,Bayern(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Ter Stegen
 (GK)",Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Piqué,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Rakitić,Barcelona,0',Substituted at 72',Not scored,0,0,0,0,0,0,0
Sergio Busquets,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Iniesta,Barcelona,0',Substituted at 75',Not scored,0,0,0,0,0,0,0
Luis Suárez,Barcelona,0',Substituted at 46',Not scored,0,0,2,0,0,0,0
Messi,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Neymar,Barcelona,0',Finished,"Scored at  15, 29",0,0,0,0,0,0,0
Mascherano,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Jordi Alba,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Dani Alves,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
"Bravo
 (GK)",Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Xavi Hernández,Barcelona,75',Finished,Not scored,0,0,0,0,0,0,0
Pedro Rodríguez,Barcelona,46',Finished,Not scored,0,0,0,0,0,0,0
Rafinha,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Bartra,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Adriano,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Mathieu,Barcelona,72',Finished,Not scored,,,0,,,,
Luis Enrique,Barcelona(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Ter Stegen
 (GK)",Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Piqué,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Rakitić,Barcelona,0',Substituted at 82',Not scored,0,0,1,0,0,0,0
Sergio Busquets,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Iniesta,Barcelona,0',Substituted at 87',Not scored,0,0,0,0,0,0,0
Luis Suárez,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Messi,Barcelona,0',Finished,"Scored at  77, 80",0,0,1,0,0,0,0
Neymar,Barcelona,0',Finished,Scored at  90+4,0,0,0,0,0,0,0
Mascherano,Barcelona,0',Substituted at 89',Not scored,0,0,0,0,0,0,0
Jordi Alba,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Dani Alves,Barcelona,0',Finished,Not scored,0,0,1,0,0,0,0
"Bravo
 (GK)",Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Xavi Hernández,Barcelona,82',Finished,Not scored,0,0,0,0,0,0,0
Pedro Rodríguez,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Rafinha,Barcelona,87',Finished,Not scored,0,0,0,0,0,0,0
Bartra,Barcelona,89',Finished,Not scored,0,0,0,0,0,0,0
Adriano,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Vermaelen,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Luis Enrique,Barcelona(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Neuer
 (GK)",Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Xabi Alonso,Bayern,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Benatia,Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Thiago Alcántara,Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Lewandowski,Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Rafinha,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Boateng,Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Bernat,Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Lahm,Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
Müller,Bayern,0',Substituted at 79',Not scored,0,0,0,0,0,0,0
Schweinsteiger,Bayern,0',Finished,Not scored,0,0,0,0,0,0,0
"Reina
 (GK)",Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Dante,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Javi Martínez,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pizarro,Bayern,Did not play,Not applicable,Not scored,,,0,,,,
Gaudino,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Götze,Bayern,79',Finished,Not scored,,,0,,,,
Weiser,Bayern,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Josep Guardiola,Bayern(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Buffon
 (GK)",Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Chiellini,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Marchisio,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Morata,Juventus,0',Substituted at 78',Scored at  8,0,0,0,0,0,0,0
Tévez,Juventus,0',Substituted at 86',Scored at  58 (P),0,0,1,0,0,0,0
Bonucci,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Pirlo,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Vidal,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Lichtsteiner,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Sturaro,Juventus,0',Substituted at 64',Not scored,0,0,0,0,0,0,0
Evra,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
"Storari
 (GK)",Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pepe,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Llorente,Juventus,78',Finished,Not scored,0,0,0,0,0,0,0
Barzagli,Juventus,64',Finished,Not scored,0,0,0,0,0,0,0
Padoin,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Matri,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pereyra,Juventus,86',Finished,Not scored,,,0,,,,
Massimiliano Allegri,Juventus(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Casillas
 (GK)",Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Varane,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Pepe,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Ramos,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Ronaldo,Real Madrid,0',Finished,Scored at  27,0,0,0,0,0,0,0
Kroos,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
James Rodríguez,Real Madrid,0',Finished,Not scored,0,0,1,0,0,0,0
Bale,Real Madrid,0',Substituted at 86',Not scored,0,0,0,0,0,0,0
Marcelo,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Carvajal,Real Madrid,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Isco,Real Madrid,0',Substituted at 63',Not scored,0,0,0,0,0,0,0
"Navas
 (GK)",Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Fábio Coentrão,Real Madrid,Did not play,Not applicable,Not scored,0,0,0,0,0,0,0
Hernández,Real Madrid,63',Finished,Not scored,0,0,0,0,0,0,0
Lucas Silva,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Arbeloa,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jesé,Real Madrid,86',Finished,Not scored,,,0,,,,
Illarramendi,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Carlo Ancelotti,Real Madrid(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Casillas
 (GK)",Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Varane,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Pepe,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Ramos,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Fábio Coentrão,Real Madrid,0',Substituted at 90'+1,Not scored,0,0,0,0,0,0,0
Ronaldo,Real Madrid,0',Finished,Not scored,0,0,1,0,0,0,0
Kroos,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
James Rodríguez,Real Madrid,0',Finished,Not scored,0,0,0,0,0,0,0
Hernández,Real Madrid,0',Substituted at 90'+2,Scored at  88,0,0,0,0,0,0,0
Carvajal,Real Madrid,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Isco,Real Madrid,0',Substituted at 90'+3,Not scored,0,0,0,0,0,0,0
"Navas
 (GK)",Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Khedira,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Lucas Silva,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Arbeloa,Real Madrid,90'+1,Finished,Not scored,0,0,0,0,0,0,0
Nacho,Real Madrid,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Jesé,Real Madrid,90'+2,Finished,Not scored,0,0,0,0,0,0,0
Illarramendi,Real Madrid,90'+3,Finished,Not scored,0,0,0,0,0,0,0
Carlo Ancelotti,Real Madrid(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Oblak
 (GK)",Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Godín,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Tiago,Atlético,0',Substituted at 86',Not scored,0,0,0,0,0,0,0
Koke,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Griezmann,Atlético,0',Substituted at 65',Not scored,0,0,0,0,0,0,0
Mandžukić,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Arda Turan,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Saúl Ñíguez,Atlético,0',Substituted at 46',Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Gámez,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Juanfran,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
Miranda,Atlético,0',Finished,Not scored,0,0,0,0,0,0,0
"Moyà
 (GK)",Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Siqueira,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Raúl García,Atlético,65',Finished,Not scored,0,0,0,0,0,0,0
Jiménez,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Gabi,Atlético,46',Finished,Not scored,0,0,0,0,0,0,0
Torres,Atlético,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Giménez,Atlético,86',Finished,Not scored,0,0,0,0,0,0,0
Diego Simeone,Atlético(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Subašić
 (GK)",Monaco,0',Finished,Not scored,0,0,0,0,0,0,0
Fabinho,Monaco,0',Finished,Not scored,0,0,0,0,0,0,0
Kurzawa,Monaco,0',Finished,Not scored,0,0,0,0,0,0,0
Abdennour,Monaco,0',Finished,Not scored,0,0,0,0,0,0,0
João Moutinho,Monaco,0',Finished,Not scored,0,0,0,0,0,0,0
Bernardo Silva,Monaco,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Carrasco,Monaco,0',Substituted at 87',Not scored,0,0,0,0,0,0,0
Kondogbia,Monaco,0',Finished,Not scored,0,0,0,0,0,0,0
Martial,Monaco,0',Substituted at 76',Not scored,0,0,0,0,0,0,0
Raggi,Monaco,0',Finished,Not scored,0,0,0,0,0,0,0
Toulalan,Monaco,0',Substituted at 46',Not scored,0,0,0,0,0,0,0
"Stekelenburg
 (GK)",Monaco,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Dirar,Monaco,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Berbatov,Monaco,46',Finished,Not scored,0,0,0,0,0,0,0
Matheus Carvalho,Monaco,87',Finished,Not scored,0,0,0,0,0,0,0
Wallace,Monaco,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Germain,Monaco,76',Finished,Not scored,0,0,0,0,0,0,0
Elderson,Monaco,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Leonardo Jardim,Monaco(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Buffon
 (GK)",Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Chiellini,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Marchisio,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Morata,Juventus,0',Substituted at 69',Not scored,0,0,0,0,0,0,0
Tévez,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Barzagli,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Bonucci,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Pirlo,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Vidal,Juventus,0',Substituted at 77',Not scored,0,0,0,0,0,0,0
Lichtsteiner,Juventus,0',Finished,Not scored,0,0,0,0,0,0,0
Evra,Juventus,0',Substituted at 89',Not scored,0,0,0,0,0,0,0
"Storari
 (GK)",Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Ogbonna,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Llorente,Juventus,69',Finished,Not scored,0,0,0,0,0,0,0
Padoin,Juventus,89',Finished,Not scored,0,0,0,0,0,0,0
Sturaro,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Matri,Juventus,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pereyra,Juventus,77',Finished,Not scored,,,0,,,,
Massimiliano Allegri,Juventus(COACH),Not applicable,--------,----------,---------,---------,---------,---------,---------,---------,---------
"Ter Stegen
 (GK)",Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Piqué,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Rakitić,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Sergio Busquets,Barcelona,0',Substituted at 55',Not scored,0,0,0,0,0,0,0
Iniesta,Barcelona,0',Substituted at 46',Not scored,0,0,1,0,0,0,0
Luis Suárez,Barcelona,0',Substituted at 75',Not scored,0,0,0,0,0,0,0
Messi,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Neymar,Barcelona,0',Finished,"Scored at  14, 34",0,0,0,0,0,0,0
Mascherano,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Jordi Alba,Barcelona,0',Finished,Not scored,0,0,0,0,0,0,0
Dani Alves,Barcelona,0',Finished,Not scored,0,0,1,0,0,0,0
"Bravo
 (GK)",Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Xavi Hernández,Barcelona,46',Finished,Not scored,0,0,0,0,0,0,0
Pedro Rodríguez,Barcelona,75',Finished,Not scored,0,0,0,0,0,0,0
Rafinha,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Bartra,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Sergi Roberto,Barcelona,55',Finished,Not scored,,,0,,,,
Adriano,Barcelona,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Luis Enrique,Barcelona(COACH),Not applicable,----------,---------,---------,---------,---------,---------,---------,---------,---------
"Sirigu
 (GK)",Paris,0',Finished,Not scored,0,0,0,0,0,0,0
Cabaye,Paris,0',Substituted at 66',Not scored,0,0,0,0,0,0,0
Marquinhos,Paris,0',Finished,Not scored,0,0,0,0,0,0,0
Cavani,Paris,0',Substituted at 80',Not scored,0,0,0,0,0,0,0
Ibrahimović,Paris,0',Finished,Not scored,0,0,0,0,0,0,0
Matuidi,Paris,0',Substituted at 80',Not scored,0,0,0,0,0,0,0
Maxwell,Paris,0',Finished,Not scored,0,0,0,0,0,0,0
Van der Wiel,Paris,0',Finished,Not scored,0,0,0,0,0,0,0
Verratti,Paris,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Pastore,Paris,0',Finished,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
David Luiz,Paris,0',Finished,Not scored,0,0,0,0,0,0,0
"Douchez
 (GK)",Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
Camara,Paris,Did not play,Not applicable,Not scored,0,0,0,0,0,0,0
Moura,Paris,66',Finished,Not scored,0,0,0,0,0,0,0
Bahebeck,Paris,Did not play,Not applicable,Not scored,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
